hipps_code,hhrg_weight
2CFLS,1.7142
2CFLT,1.7142
2CFLU,1.7142
2CFLV,1.7142
2CFLW,1.7142
2CFLX,1.7142
2CFMS,1.9384
2CFMT,1.9384
2CFMU,1.9384
2CFMV,1.9384
2CFMW,1.9384
2CFMX,1.9384
2CGKS,1.5288
2CGKT,1.5288
2CGKU,1.5288
2CGKV,1.5288
2CGKW,1.5288
2CGKX,1.5288
2CGLS,1.7570
2CGLT,1.7570
2CGLU,1.7570
2CGLV,1.7570
2CGLW,1.7570
2CGLX,1.7570
2CGMS,1.9853
2CGMT,1.9853
2CGMU,1.9853
2CGMV,1.9853
2CGMW,1.9853
2CGMX,1.9853
2CHKS,1.6255
2CHKT,1.6255
2CHKU,1.6255
2CHKV,1.6255
2CHKW,1.6255
2CHKX,1.6255
2CHLS,1.8487
2CHLT,1.8487
2CHLU,1.8487
2CHLV,1.8487
2CHLW,1.8487
2CHLX,1.8487
2CHMS,2.0718
2CHMT,2.0718
2CHMU,2.0718
2CHMV,2.0718
2CHMW,2.0718
2CHMX,2.0718
3AFKS,0.4942
3AFKT,0.4942
3AFKU,0.4942
3AFKV,0.4942
3AFKW,0.4942
3AFKX,0.4942
3AFLS,0.6435
3AFLT,0.6435
3AFLU,0.6435
3AFLV,0.6435
3AFLW,0.6435
3AFLX,0.6435
3AFMS,0.7928
3AFMT,0.7928
3AFMU,0.7928
3AFMV,0.7928
3AFMW,0.7928
3AFMX,0.7928
3AFNS,0.9421
3AFNT,0.9421
3AFNU,0.9421
3AFNV,0.9421
3AFNW,0.9421
3AFNX,0.9421
3AFPS,1.0914
3AFPT,1.0914
3AFPU,1.0914
3AFPV,1.0914
3AFPW,1.0914
3AFPX,1.0914
3AGKS,0.5746
3AGKT,0.5746
3AGKU,0.5746
3AGKV,0.5746
3AGKW,0.5746
3AGKX,0.5746
3AGLS,0.7097
3AGLT,0.7097
3AGLU,0.7097
3AGLV,0.7097
3AGLW,0.7097
3AGLX,0.7097
3AGMS,0.8448
3AGMT,0.8448
3AGMU,0.8448
3AGMV,0.8448
3AGMW,0.8448
3AGMX,0.8448
