hipps_code	hhrg_weight
2BGLS,2.1389
2BGLT,2.1389
2BGLU,2.1389
2BGLV,2.1389
2BGLW,2.1389
2BGLX,2.1389
2BGMS,2.3663
2BGMT,2.3663
2BGMU,2.3663
2BGMV,2.3663
2BGMW,2.3663
2BGMX,2.3663
2BHKS,1.9598
2BHKT,1.9598
2BHKU,1.9598
2BHKV,1.9598
2BHKW,1.9598
2BHKX,1.9598
2BHLS,2.2145
2BHLT,2.2145
2BHLU,2.2145
2BHLV,2.2145
2BHLW,2.2145
2BHLX,2.2145
2BHMS,2.4691
2BHMT,2.4691
2BHMU,2.4691
2BHMV,2.4691
2BHMW,2.4691
2BHMX,2.4691
2CFKS,2.0453
2CFKT,2.0453
2CFKU,2.0453
2CFKV,2.0453
2CFKW,2.0453
2CFKX,2.0453
2CFLS,2.2682
2CFLT,2.2682
2CFLU,2.2682
2CFLV,2.2682
2CFLW,.2682
2CFLX,2.2682
2CFMS,2.4911
2CFMT,2.4911
2CFMU,2.4911
2CFMV,2.4911
2CFMW,2.4911
2CFMX,2.4911
2CGKS,2.1415
2CGKT,2.1415
2CGKU,2.1415
2CGKV,2.1415
2CGKW,2.1415
2CGKX,2.1415
2CGLS,2.3848
2CGLT,2.3848
2CGLU,2.3848
2CGLV,2.3848
2CGLW,2.3848
2CGLX,2.3848
2CGMS,2.6280
2CGMT,2.6280
2CGMU,2.6280
2CGMV,2.6280
2CGMW,2.6280
2CGMX,2.6280
2CHKS,2.1897
2CHKT,2.1897
2CHKU,2.1897
2CHKV,2.1897
2CHKW,2.1897
2CHKX,2.1897
2CHLS,2.4603
2CHLT,2.4603
2CHLU,2.4603
2CHLV,2.4603
2CHLW,2.4603
2CHLX,2.4603
2CHMS,2.7309
2CHMT,2.7309
2CHMU,2.7309
2CHMV,2.7309
2CHMW,2.7309
2CHMX,2.7309
3AFKS,0.6692
3AFKT,0.6692
3AFKU,0.6692
3AFKV,0.6692
3AFKW,0.6692
3AFKX,0.6692
3AFLS,0.8718
3AFLT,0.8718
3AFLU,0.8718
3AFLV,0.8718
3AFLW,0.8718
3AFLX,0.8718
3AFMS,1.0744
3AFMT,1.0744
3AFMU,1.0744
3AFMV,1.0744
3AFMW,1.0744
3AFMX,1.0744
3AFNS,1.2770
3AFNT,1.2770
3AFNU,1.2770
3AFNV,1.2770
3AFNW,1.2770
3AFNX,1.2770
3AFPS,1.4796
3AFPT,1.4796
3AFPU,1.4796
3AFPV,1.4796
3AFPW,1.4796
3AFPX,1.4796
3AGKS,0.8421
3AGKT,0.8421
3AGKU,0.8421
3AGKV,0.8421
3AGKW,0.8421
3AGKX,0.8421
3AGLS,1.0263
3AGLT,1.0263
3AGLU,1.0263
3AGLV,1.0263
3AGLW,1.0263
3AGLX,1.0263
3AGMS,1.2104
3AGMT,1.2104
3AGMU,1.2104
3AGMV,1.2104
3AGMW,1.2104
3AGMX,1.2104
3AGNS,1.3945
3AGNT,1.3945
3AGNU,1.3945
3AGNV,1.3945
3AGNW,1.3945
3AGNX,1.3945
3AGPS,1.5787
3AGPT,1.5787
3AGPU,1.5787
3AGPV,1.5787
3AGPW,1.5787
3AGPX,1.5787
3AHKS,0.9352
3AHKT,0.9352
3AHKU,0.9352
3AHKV,0.9352
3AHKW,0.9352
3AHKX,0.9352
3AHLS,1.1331
3AHLT,1.1331
3AHLU,1.1331
3AHLV,1.1331
3AHLW,1.1331
3AHLX,1.1331
3AHMS,1.3310
3AHMT,1.3310
3AHMU,1.3310
3AHMV,1.3310
3AHMW,1.3310
3AHMX,1.3310
3AHNS,1.5289
3AHNT,1.5289
3AHNU,1.5289
3AHNV,1.5289
3AHNW,1.5289
3AHNX,1.5289
3AHPS,1.7268
3AHPT,1.7268
3AHPU,1.7268
3AHPV,1.7268
3AHPW,1.7268
3AHPX,1.7268
3BFKS,0.7361
3BFKT,0.7361
3BFKU,0.7361
3BFKV,0.7361
3BFKW,0.7361
3BFKX,0.7361
3BFLS,0.9591
3BFLT,0.9591
3BFLU,0.9591
3BFLV,0.9591
3BFLW,0.9591
3BFLX,0.9591
3BFMS,1.1820
3BFMT,1.1820
3BFMU,1.1820
3BFMV,1.1820
3BFMW,1.1820
3BFMX,1.1820
3BFNS,1.4049
3BFNT,1.4049
3BFNU,1.4049
3BFNV,1.4049
3BFNW,1.4049
3BFNX,1.4049
3BFPS,1.6278
3BFPT,1.6278
3BFPU,1.6278
3BFPV,1.6278
3BFPW,1.6278
3BFPX,1.6278
3BGKS,0.9091
3BGKT,0.9091
3BGKU,0.9091
3BGKV,0.9091
3BGKW,0.9091
3BGKX,0.9091
3BGLS,1.1136
3BGLT,1.1136
3BGLU,1.1136
3BGLV,1.1136
3BGLW,1.1136
3BGLX,1.1136
3BGMS,1.3180
3BGMT,1.3180
3BGMU,1.3180
3BGMV,1.3180
3BGMW,1.3180
3BGMX,1.3180
3BGNS,1.5225
3BGNT,1.5225
3BGNU,1.5225
3BGNV,1.5225
3BGNW,1.5225
3BGNX,1.5225
3BGPS,1.7269
3BGPT,1.7269
3BGPU,1.7269
3BGPV,1.7269
3BGPW,1.7269
3BGPX,1.7269
3BHKS,1.0022
3BHKT,1.0022
3BHKU,1.0022
3BHKV,1.0022
3BHKW,1.0022
3BHKX,1.0022
3BHLS,1.2204
3BHLT,1.2204
3BHLU,1.2204
3BHLV,1.2204
3BHLW,1.2204
3BHLX,1.2204
3BHMS,1.4386
3BHMT,1.4386
3BHMU,1.4386
3BHMV,1.4386
3BHMW,1.4386
3BHMX,1.4386
3BHNS,1.6568
3BHNT,1.6568
3BHNU,1.6568
3BHNV,1.6568
3BHNW,1.6568
3BHNX,1.6568
3BHPS,1.8751
3BHPT,1.8751
3BHPU,1.8751
3BHPV,1.8751
3BHPW,1.8751
3BHPX,1.8751
3CFKS,0.9324
3CFKT,0.9324
3CFKU,0.9324
3CFKV,0.9324
3CFKW,0.9324
3CFKX,0.9324
3CFLS,1.1609
3CFLT,1.1609
3CFLU,1.1609
3CFLV,1.1609
3CFLW,1.1609
3CFLX,1.1609
3CFMS,1.3893
3CFMT,1.3893
3CFMU,1.3893
3CFMV,1.3893
3CFMW,1.3893
3CFMX,1.3893
3CFNS,1.6178
3CFNT,1.6178
3CFNU,1.6178
3CFNV,1.6178
3CFNW,1.6178
3CFNX,1.6178
3CFPS,1.8463
3CFPT,1.8463
3CFPU,1.8463
3CFPV,1.8463
3CFPW,1.8463
3CFPX,1.8463
3CGKS,1.1054
3CGKT,1.1054
3CGKU,1.1054
3CGKV,1.1054
3CGKW,1.1054
3CGKX,1.1054
3CGLS,1.3154
3CGLT,1.3154
3CGLU,1.3154
3CGLV,1.3154
3CGLW,1.3154
3CGLX,1.3154
3CGMS,1.5254
3CGMT,1.5254
3CGMU,1.5254
3CGMV,1.5254
3CGMW,1.5254
3CGMX,1.5254
3CGNS,1.7353
3CGNT,1.7353
3CGNU,1.7353
3CGNV,1.7353
3CGNW,1.7353
3CGNX,1.7353
3CGPS,1.9453
3CGPT,1.9453
3CGPU,1.9453
3CGPV,1.9453
3CGPW,1.9453
3CGPX,1.9453
