HIPPS Code,HHRG Weight,Supply Add-on,Rural Supply Add-on
3AFPX,1.4796,568.06,585.11
3AGKS,0.8421,14.56,15
3AGKT,0.8421,52.58,54.16
3AGKU,0.8421,144.16,148.49
3AGKV,0.8421,214.19,220.61
3AGKW,0.8421,330.29,340.2
3AGKX,0.8421,568.06,585.11
3AGLS,1.0263,14.56,15
3AGLT,1.0263,52.58,54.16
3AGLU,1.0263,144.16,148.49
3AGLV,1.0263,214.19,220.61
3AGLW,1.0263,330.29,340.2
3AGLX,1.0263,568.06,585.11
3AGMS,1.2104,14.56,15
3AGMT,1.2104,52.58,54.16
3AGMU,1.2104,144.16,148.49
3AGMV,1.2104,214.19,220.61
3AGMW,1.2104,330.29,340.2
3AGMX,1.2104,568.06,585.11
3AGNS,1.3945,14.56,15
3AGNT,1.3945,52.58,54.16
3AGNU,1.3945,144.16,148.49
3AGNV,1.3945,214.19,220.61
3AGNW,1.3945,330.29,340.2
3AGNX,1.3945,568.06,585.11
3AGPS,1.5787,14.56,15
3AGPT,1.5787,52.58,54.16
3AGPU,1.5787,144.16,148.49
3AGPV,1.5787,214.19,220.61
3AGPW,1.5787,330.29,340.2
3AGPX,1.5787,568.06,585.11
3AHKS,0.9352,14.56,15
3AHKT,0.9352,52.58,54.16
3AHKU,0.9352,144.16,148.49
3AHKV,0.9352,214.19,220.61
3AHKW,0.9352,330.29,340.2
3AHKX,0.9352,568.06,585.11
3AHLS,1.1331,14.56,15
3AHLT,1.1331,52.58,54.16
3AHLU,1.1331,144.16,148.49
3AHLV,1.1331,214.19,220.61
3AHLW,1.1331,330.29,340.2
3AHLX,1.1331,568.06,585.11
3AHMS,1.331,14.56,15
3AHMT,1.331,52.58,54.16
3AHMU,1.331,144.16,148.49
3AHMV,1.331,214.19,220.61
3AHMW,1.331,330.29,340.2
3AHMX,1.331,568.06,585.11
3AHNS,1.5289,14.56,15
3AHNT,1.5289,52.58,54.16
3AHNU,1.5289,144.16,148.49
3AHNV,1.5289,214.19,220.61
3AHNW,1.5289,330.29,340.2
3AHNX,1.5289,568.06,585.11
3AHPS,1.7268,14.56,15
3AHPT,1.7268,52.58,54.16
3AHPU,1.7268,144.16,148.49
3AHPV,1.7268,214.19,220.61
3AHPW,1.7268,330.29,340.2
3AHPX,1.7268,568.06,585.11
3BFKS,0.7361,14.56,15
3BFKT,0.7361,52.58,54.16
3BFKU,0.7361,144.16,148.49
3BFKV,0.7361,214.19,220.61
3BFKW,0.7361,330.29,340.2
3BFKX,0.7361,568.06,585.11
3BFLS,0.9591,14.56,15
3BFLT,0.9591,52.58,54.16
3BFLU,0.9591,144.16,148.49
3BFLV,0.9591,214.19,220.61
3BFLW,0.9591,330.29,340.2
3BFLX,0.9591,568.06,585.11
3BFMS,1.182,14.56,15
3BFMT,1.182,52.58,54.16
3BFMU,1.182,144.16,148.49
3BFMV,1.182,214.19,220.61
3BFMW,1.182,330.29,340.2
3BFMX,1.182,568.06,585.11
3BFNS,1.4049,14.56,15
3BFNT,1.4049,52.58,54.16
3BFNU,1.4049,144.16,148.49
3BFNV,1.4049,214.19,220.61
3BFNW,1.4049,330.29,340.2
3BFNX,1.4049,568.06,585.11
3BFPS,1.6278,14.56,15
3BFPT,1.6278,52.58,54.16
3BFPU,1.6278,144.16,148.49
3BFPV,1.6278,214.19,220.61
3BFPW,1.6278,330.29,340.2
3BFPX,1.6278,568.06,585.11
3BGKS,0.9091,14.56,15
3BGKT,0.9091,52.58,54.16
3BGKU,0.9091,144.16,148.49
31BGKV,0.9091,214.19,220.61
3BGKW,0.9091,330.29,340.2
3BGKX,0.9091,568.06,585.11
3BGLS,1.1136,14.56,15
3BGLT,1.1136,52.58,54.16
3BGLU,1.1136,144.16,148.49
3BGLV,1.1136,214.19,220.61
3BGLW,1.1136,330.29,340.2
3BGLX,1.1136,568.06,585.11
3BGMS,1.318,14.56,15
3BGMT,1.318,52.58,54.16
3BGMU,1.318,144.16,148.49
3BGMV,1.318,214.19,220.61
3BGMW,1.318,330.29,340.2
3BGMX,1.318,568.06,585.11
3BGNS,1.5225,14.56,15
3BGNT,1.5225,52.58,54.16
3BGNU,1.5225,144.16,148.49
3BGNV,1.5225,214.19,220.61
3BGNW,1.5225,330.29,340.2
3BGNX,1.5225,568.06,585.11
3BGPS,1.7269,14.56,15
3BGPT,1.7269,52.58,54.16
3BGPU,1.7269,144.16,148.49
3BGPV,1.7269,214.19,220.61
3BGPW,1.7269,330.29,340.2
3BGPX,1.7269,568.06,585.11
3BHKS,1.0022,14.56,15
3BHKT,1.0022,52.58,54.16
3BHKU,1.0022,144.16,148.49
3BHKV,1.0022,214.19,220.61
3BHKW,1.0022,330.29,340.2
3BHKX,1.0022,568.06,585.11
3BHLS,1.2204,14.56,15
3BHLT,1.2204,52.58,54.16
3BHLU,1.2204,144.16,148.49
3BHLV,1.2204,214.19,220.61
3BHLW,1.2204,330.29,340.2
3BHLX,1.2204,568.06,585.11
3BHMS,1.4386,14.56,15
3BHMT,1.4386,52.58,54.16
3BHMU,1.4386,144.16,148.49
3BHMV,1.4386,214.19,220.61
3BHMW,1.4386,330.29,340.2
3BHMX,1.4386,568.06,585.11
3BHNS,1.6568,14.56,15
3BHNT,1.6568,52.58,54.16
3BHNU,1.6568,144.16,148.49
3BHNV,1.6568,214.19,220.61
3BHNW,1.6568,330.29,340.2
3BHNX,1.6568,568.06,585.11
3BHPS,1.8751,14.56,15
3BHPT,1.8751,52.58,54.16
3BHPU,1.8751,144.16,148.49
3BHPV,1.8751,214.19,220.61
3BHPW,1.8751,330.29,340.2
3BHPX,1.8751,568.06,585.11
3CFKS,0.9324,14.56,15
3CFKT,0.9324,52.58,54.16
3CFKU,0.9324,144.16,148.49
3CFKV,0.9324,214.19,220.61
3CFKW,0.9324,330.29,340.2
3CFKX,0.9324,568.06,585.11
3CFLS,1.1609,14.56,15
3CFLT,1.1609,52.58,54.16
3CFLU,1.1609,144.16,148.49
3CFLV,1.1609,214.19,220.61
3CFLW,1.1609,330.29,340.2
3CFLX,1.1609,568.06,585.11
3CFMS,1.3893,14.56,15
3CFMT,1.3893,52.58,54.16
3CFMU,1.3893,144.16,148.49
3CFMV,1.3893,214.19,220.61
